scene,method,mult,frame,psnr,ssim,gpsnr,flicker,rays,ms,steps
cavern,PTR,0.60,53,32.8893,0.84981,31.0890,0.000809,113580,46.147,2284866
cavern,PTR,0.60,54,32.9118,0.85010,31.1038,0.000780,112904,45.186,2267230
cavern,PTR,0.60,55,32.9328,0.85042,31.1199,0.000745,113599,51.002,2281947
cavern,PTR,0.60,56,32.9591,0.85075,31.1342,0.000752,113123,47.505,2269000
cavern,PTR,0.60,57,32.9905,0.85110,31.1612,0.000737,113861,46.367,2299894
cavern,PTR,0.60,58,33.0194,0.85161,31.1805,0.000751,112959,45.627,2272838
cavern,PTR,0.60,59,33.0403,0.85204,31.1940,0.000725,112853,53.238,2269529
cavern,PTR,0.60,60,33.0609,0.85251,31.2081,0.000699,113047,45.438,2270406
cavern,PTR,0.60,61,33.0886,0.85297,31.2263,0.000697,111933,45.462,2248266
cavern,PTR,0.60,62,33.1176,0.85340,31.2491,0.000682,113513,46.499,2277188
cavern,PTR,0.60,63,33.1461,0.85409,31.2705,0.000692,114289,46.508,2291959
cavern,PTR,0.60,64,33.1712,0.85461,31.2905,0.000662,112840,46.796,2271341
cavern,PTR,0.60,65,33.1973,0.85510,31.3090,0.000621,113835,46.041,2293760
cavern,PTR,0.60,66,33.2232,0.85551,31.3269,0.000651,114254,47.890,2304882
cavern,PTR,0.60,67,33.2469,0.85594,31.3446,0.000636,112595,45.448,2266492
cavern,PTR,0.60,68,33.2624,0.85625,31.3577,0.000610,112813,45.262,2261692
cavern,PTR,0.60,69,33.2770,0.85652,31.3689,0.000602,113587,48.037,2285325
cavern,PTR,0.60,70,33.2932,0.85685,31.3804,0.000593,112933,45.623,2269255
cavern,PTR,0.60,71,33.3215,0.85746,31.3983,0.000595,112309,48.563,2261185
cavern,PTR,0.60,72,33.3454,0.85791,31.4151,0.000572,113236,52.864,2276894
cavern,PTR,0.60,73,33.3618,0.85840,31.4287,0.000568,113270,45.323,2279790
cavern,PTR,0.60,74,33.3859,0.85880,31.4459,0.000561,112655,47.782,2272552
bunker,PTCR,0.35,0,20.2039,0.50248,24.5557,0.000000,57920,67.114,1880041
bunker,PTCR,0.35,1,22.5146,0.56905,25.7182,0.038277,58430,66.638,1904193
bunker,PTCR,0.35,2,23.9317,0.61341,26.6836,0.025386,58057,66.511,1896323
bunker,PTCR,0.35,3,25.0555,0.64539,27.4078,0.018944,57744,65.656,1877816
bunker,PTCR,0.35,4,25.5536,0.67031,27.8601,0.012983,57970,75.314,1882402
bunker,PTCR,0.35,5,26.2102,0.68766,28.2354,0.011322,57653,90.896,1876782
