scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,PT,1.00,89,27.3700,0.60538,26.9654,0.010418,207516,152.154,6747146
bunker,PT,1.00,90,27.4720,0.60808,27.0447,0.010375,208956,169.982,6792942
bunker,PT,1.00,91,27.5392,0.60757,27.0850,0.010364,208489,162.252,6786603
bunker,PT,1.00,92,27.6238,0.60836,27.1287,0.010689,208448,164.072,6784897
bunker,PT,1.00,93,27.6021,0.60831,27.0612,0.010704,208611,148.720,6797672
bunker,PT,1.00,94,27.4138,0.60861,26.9429,0.010672,208080,133.038,6780504
bunker,PT,1.00,95,26.9884,0.60670,26.4629,0.011306,207721,160.019,6774221
bunker,PT,1.00,96,27.1071,0.60998,26.5680,0.010057,207830,115.641,6761395
bunker,PT,1.00,97,27.1344,0.60736,26.5801,0.010678,207545,175.690,6761019
bunker,PT,1.00,98,26.6216,0.60182,26.2030,0.011212,209710,146.685,6831697
bunker,PT,1.00,99,26.7588,0.60698,26.3335,0.010321,210070,163.231,6835460
bunker,PT,1.00,100,26.7571,0.60599,26.3032,0.010693,208238,207.668,6768291
bunker,PT,1.00,101,26.8130,0.60604,26.3729,0.010488,207806,173.818,6767318
bunker,PT,1.00,102,26.7186,0.60050,26.2774,0.010938,208573,153.260,6791069
bunker,PT,1.00,103,26.9791,0.60393,26.4358,0.010385,207625,195.320,6758316
bunker,PT,1.00,104,26.9734,0.59866,26.4598,0.010555,208941,130.581,6798892
bunker,PT,1.00,105,27.0136,0.59867,26.5160,0.010418,208423,139.966,6799546
bunker,PT,1.00,106,27.1360,0.59956,26.5818,0.009990,207733,199.095,6772786
bunker,PT,1.00,107,27.2829,0.60213,26.6655,0.010354,209139,197.925,6798732
bunker,PT,1.00,108,27.4315,0.60597,26.7826,0.010693,209010,184.897,6804850
bunker,PT,1.00,109,27.3103,0.60151,26.7248,0.010510,207852,129.742,6768212
bunker,PT,1.00,110,27.3143,0.59915,26.7085,0.010679,209363,109.687,6828958
bunker,PT,1.00,111,27.0016,0.59679,26.4923,0.010664,207219,197.954,6748008
bunker,PT,1.00,112,27.0457,0.59604,26.5746,0.010356,208115,156.417,6769602
bunker,PT,1.00,113,27.1422,0.59541,26.5899,0.010711,207652,179.057,6766402
bunker,PT,1.00,114,27.2635,0.60102,26.7324,0.009934,208002,175.887,6781907
bunker,PT,1.00,115,27.3280,0.59924,26.7655,0.010604,208145,126.841,6774713
bunker,PT,1.00,116,27.0916,0.59887,26.6083,0.010836,209406,167.833,6823281
bunker,PT,1.00,117,26.7924,0.59742,26.3168,0.010732,207103,176.728,6730877
bunker,PT,1.00,118,27.0056,0.60193,26.4679,0.010136,208225,154.432,6767076
bunker,PT,1.00,119,27.0263,0.60216,26.4973,0.010496,208555,132.978,6785409
bunker,PT,1.00,120,27.1614,0.60251,26.5464,0.010536,208826,144.207,6788854
bunker,PT,1.00,121,27.2612,0.60291,26.6168,0.010658,208356,159.049,6780943
bunker,PT,1.00,122,27.2586,0.60072,26.6393,0.010490,209170,171.822,6806743
bunker,PT,1.00,123,27.3682,0.60360,26.7274,0.010587,208307,134.742,6774959
bunker,PT,1.00,124,27.4640,0.60461,26.8013,0.010012,208600,177.958,6792322
bunker,PT,1.00,125,27.5424,0.60581,26.8494,0.010351,208717,142.611,6792900
bunker,PT,1.00,126,27.5217,0.60395,26.8303,0.010722,207993,144.331,6763008
bunker,PT,1.00,127,27.0593,0.59773,26.3353,0.011127,208614,147.580,6784423
bunker,PT,1.00,128,27.0075,0.60240,26.3435,0.010456,207634,152.665,6772191
bunker,PT,1.00,129,27.0980,0.59920,26.3937,0.010537,208289,132.752,6782028
bunker,PT,1.00,130,27.1626,0.59861,26.4875,0.010481,209140,193.429,6808640
bunker,PT,1.00,131,27.2688,0.60042,26.5867,0.010300,207910,198.047,6755812
bunker,PT,1.00,132,27.3240,0.60166,26.5873,0.010600,208285,172.749,6780984
bunker,PT,1.00,133,27.1850,0.60000,26.4966,0.010850,208903,153.608,6800707
bunker,PT,1.00,134,27.2536,0.59980,26.5942,0.010504,207856,141.638,6780558
bunker,PT,1.00,135,27.3393,0.60130,26.5974,0.010419,208089,164.480,6776383
bunker,PT,1.00,136,27.2335,0.60242,26.5427,0.010615,208411,140.923,6790484
bunker,PT,1.00,137,27.3837,0.60757,26.7064,0.009972,208376,137.096,6792979
bunker,PT,1.00,138,27.4816,0.60863,26.7968,0.010093,207398,146.571,6761360
bunker,PT,1.00,139,27.5345,0.60874,26.8557,0.010391,207291,161.663,6739921
bunker,PT,1.00,140,27.5783,0.60867,26.8885,0.010510,208891,157.116,6788950
bunker,PT,1.00,141,27.5271,0.60568,26.8382,0.011093,207900,177.223,6760149
bunker,PT,1.00,142,27.6494,0.61020,26.9568,0.010202,208589,153.246,6770474
bunker,PT,1.00,143,27.5440,0.60983,26.9112,0.010714,208327,129.853,6791139
bunker,PT,1.00,144,27.5975,0.60874,26.9161,0.010484,208079,164.400,6774039
bunker,PT,1.00,145,27.4177,0.60724,26.8090,0.010584,207601,170.377,6755077
bunker,PT,1.00,146,27.4644,0.60831,26.8541,0.010157,207490,135.894,6760695
bunker,PT,1.00,147,27.5417,0.61052,26.9084,0.010419,207719,164.990,6752199
bunker,PT,1.00,148,27.6364,0.61220,27.0033,0.010204,207889,131.125,6762575
bunker,PT,1.00,149,27.6652,0.61202,27.0066,0.010244,208372,145.610,6775675
