method,budget,frame,psnr,rays,ms,steps
FCGI,0.5,62,27.1898,17218,8.458,1127132
FCGI,0.5,63,27.2468,15997,7.945,1039767
FCGI,0.5,64,27.3377,16427,8.469,1158063
FCGI,0.5,65,27.4216,16858,8.861,1211438
FCGI,0.5,66,27.4743,17113,8.633,1169074
FCGI,0.5,67,27.4966,17251,8.509,1123699
FCGI,0.5,68,27.5093,16141,8.296,1098717
FCGI,0.5,69,27.5929,16367,8.531,1135799
FCGI,0.5,70,27.6633,16721,8.537,1161472
FCGI,0.5,71,27.7023,17214,8.966,1192182
FCGI,0.5,72,27.7465,17071,8.737,1148969
FCGI,0.5,73,27.7383,16103,8.014,1053696
FCGI,0.5,74,27.8019,16297,8.387,1120729
FCGI,0.5,75,21.3450,16042,9.825,1157374
FCGI,0.5,76,21.6048,16763,9.088,1168857
FCGI,0.5,77,21.8078,16959,8.830,1183252
FCGI,0.5,78,22.0443,17195,8.642,1179796
FCGI,0.5,79,22.2440,16771,8.468,1125088
FCGI,0.5,80,22.3049,16091,8.086,1091265
FCGI,0.5,81,22.4993,16478,8.498,1148888
FCGI,0.5,82,22.6465,17052,8.924,1225174
FCGI,0.5,83,22.8010,17144,8.882,1189239
FCGI,0.5,84,22.9372,16906,8.355,1098686
FCGI,0.5,85,22.9942,16112,8.341,1108402
FCGI,0.5,86,23.1373,16419,8.755,1177114
FCGI,0.5,87,23.2369,17054,8.809,1179207
FCGI,0.5,88,23.3246,17148,8.632,1173283
FCGI,0.5,89,23.4174,17031,8.562,1160447
FCGI,0.5,90,23.4754,16142,8.240,1104103
FCGI,0.5,91,23.6097,16360,8.406,1149677
FCGI,0.5,92,23.6985,17173,8.907,1199309
FCGI,0.5,93,23.7989,17093,9.173,1230487
FCGI,0.5,94,23.8653,17236,8.608,1128277
FCGI,0.5,95,23.9233,15948,8.228,1072693
FCGI,0.5,96,24.0637,16488,9.003,1202748
FCGI,0.5,97,24.1423,17118,9.495,1194679
FCGI,0.5,98,24.2181,17083,9.377,1178722
FCGI,0.5,99,24.2805,17097,8.919,1144638
FCGI,0.5,100,24.3252,16192,8.589,1116657
FCGI,0.5,101,24.4420,16381,8.558,1142333
FCGI,0.5,102,24.5266,16851,8.807,1165467
FCGI,0.5,103,24.6100,17149,9.006,1223612
FCGI,0.5,104,24.6701,17189,8.766,1165536
FCGI,0.5,105,24.7251,16154,8.040,1057300
FCGI,0.5,106,24.8217,16361,8.485,1150643
FCGI,0.5,107,24.9129,16956,8.987,1223868
FCGI,0.5,108,24.9811,17203,8.718,1172687
FCGI,0.5,109,25.0411,17023,8.499,1131004
FCGI,0.5,110,25.0992,16247,8.358,1098001
FCGI,0.5,111,25.2008,16263,8.644,1169483
FCGI,0.5,112,25.2935,17033,8.680,1162780
FCGI,0.5,113,25.3671,17163,8.790,1191506
FCGI,0.5,114,25.4277,17193,8.925,1209647
FCGI,0.5,115,25.4816,16426,8.150,1070599
FCGI,0.5,116,25.5912,16083,8.320,1126856
FCGI,0.5,117,25.6999,17036,8.873,1209117
FCGI,0.5,118,25.7634,17047,9.097,1200244
FCGI,0.5,119,25.8370,17227,8.793,1144427
FCGI,0.5,120,25.8919,16451,8.291,1072057
FCGI,0.5,121,25.9671,16144,8.745,1166465
FCGI,0.5,122,26.0805,16963,8.919,1167083
FCGI,0.5,123,26.1550,17015,9.072,1178113
FCGI,0.5,124,26.2164,17370,9.321,1206865
FCGI,0.5,125,26.2811,16404,8.470,1098253
FCGI,0.5,126,26.3893,16198,8.397,1121722
FCGI,0.5,127,26.4840,16935,8.835,1179752
FCGI,0.5,128,26.5405,17034,9.106,1220805
FCGI,0.5,129,26.6068,17333,8.992,1180966
FCGI,0.5,130,26.6558,16381,8.217,1052364
FCGI,0.5,131,26.7604,16232,9.019,1166932
FCGI,0.5,132,26.8626,16677,9.055,1172046
FCGI,0.5,133,26.9315,17228,8.977,1192254
FCGI,0.5,134,26.9838,17240,8.969,1184391
FCGI,0.5,135,27.0465,16618,8.441,1123717
FCGI,0.5,136,27.1231,16149,8.604,1127787
FCGI,0.5,137,27.2347,16620,8.542,1145154
FCGI,0.5,138,27.3136,17213,8.932,1211067
FCGI,0.5,139,27.3626,17060,9.265,1205298
FCGI,0.5,140,27.4152,16730,8.228,1075182
FCGI,0.5,141,27.4831,16092,8.307,1102587
FCGI,0.5,142,27.5966,16732,8.854,1207845
FCGI,0.5,143,27.6651,17232,8.994,1207901
FCGI,0.5,144,27.7279,17055,8.708,1171344
FCGI,0.5,145,27.7861,16890,8.449,1114832
FCGI,0.5,146,27.8525,16057,8.451,1136287
FCGI,0.5,147,27.9590,16603,8.579,1149198
FCGI,0.5,148,28.0139,17047,8.758,1179089
FCGI,0.5,149,28.0628,17116,9.146,1230246
PT,1.0,0,17.6133,65670,31.556,4568155
PT,1.0,1,19.2671,66006,31.408,4600786
PT,1.0,2,20.5274,65678,31.187,4552120
PT,1.0,3,21.6589,66112,31.380,4584985
PT,1.0,4,22.7481,66132,31.821,4613074
PT,1.0,5,23.4633,66358,31.941,4608714
PT,1.0,6,24.2125,65581,31.045,4548803
PT,1.0,7,24.6377,65300,30.931,4531223
